Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Call of Duty: Infinite Warfare,PC,2016,Shooter,Activision,0.04,0.08,0,0.01,0.14,73,16,3,440,Infinity Ward,T
Disney's Cinderella: Magical Dreams,GBA,N/A,Platform,Disney Interactive Studios,0.1,0.04,0,0,0.14,69,7,tbd,,Culture Brain,M
MotoGP '06,X360,2006,Racing,THQ,0.11,0.01,0,0.01,0.14,80,50,7.7,13,"Climax Group, Climax Studios",E
Tiger Woods PGA Tour 2005,GC,2004,Sports,Electronic Arts,0.1,0.03,0,0,0.14,88,18,tbd,,EA Sports,E
G.I. Joe: The Rise of Cobra,DS,2009,Action,Electronic Arts,0.11,0.01,0,0.01,0.14,47,16,7.5,4,Backbone Entertainment,E
Spider-Man: Edge of Time,DS,2011,Action,Activision,0.12,0.01,0,0.01,0.14,50,6,tbd,,"Beenox, Other Ocean Interactive",E10+
Gourmet Chef: Cook Your Way to Fame,DS,2008,Misc,Ubisoft,0.13,0,0,0.01,0.14,,,tbd,,Ubisoft,E10+
Fashion Studio: Paris Collection,DS,2009,Misc,Ubisoft,0.13,0,0,0.01,0.14,,,tbd,,Ubisoft,E
Salt Lake 2002,PS2,2002,Sports,Eidos Interactive,0.07,0.05,0,0.02,0.14,49,11,3.5,6,Attention To Detail,E
ESPN MLB Baseball,XB,2004,Sports,Sega,0.1,0.03,0,0,0.14,,,,,,E
Gladius,XB,2003,Strategy,Activision,0.1,0.03,0,0,0.14,79,31,8.5,22,LucasArts,
Legends of Wrestling,XB,2002,Fighting,Acclaim Entertainment,0.1,0.03,0,0,0.14,65,10,5.8,4,Acclaim,T
Queen's Gate: Spiral Chaos,PSP,2011,Role-Playing,Namco Bandai Games,0,0,0.14,0,0.14,,,,,,T
Nayuta no Kiseki,PSP,2012,Action,Nihon Falcom Corporation,0,0,0.14,0,0.14,,,,,,
Magnetica,DS,2006,Puzzle,Nintendo,0.08,0.01,0.03,0.01,0.14,68,33,8.1,11,Mitchell,
Red Orchestra 2: Heroes of Stalingrad,PC,2011,Shooter,Tripwire Interactive,0.04,0.07,0,0.02,0.14,76,49,7.3,729,Tripwire Interactive,E
Spy Hunter 2,XB,2003,Racing,Midway Games,0.1,0.03,0,0,0.13,57,22,tbd,,Midway,M
Open Season,DS,2006,Platform,Ubisoft,0.12,0,0,0.01,0.13,72,4,tbd,,Ubisoft Quebec,T
Avatar: The Last Airbender - The Burning Earth,X360,2007,Action,THQ,0.11,0.01,0,0.01,0.13,,,,,,E
LEGO The Lord of the Rings,DS,2012,Action,Warner Bros. Interactive Entertainment,0,0.12,0,0.01,0.13,,,tbd,,TT Games,
Backyard Soccer,PS,2001,Sports,Infogrames,0.07,0.05,0,0.01,0.13,,,tbd,,Humongous Entertainment,E10+
Imagine: Fashion Stylist,DS,2010,Simulation,Ubisoft,0.13,0,0,0.01,0.13,,,tbd,,Magic Pockets,E
Final Fantasy XI: Rise of the Zilart,PS2,2003,Role-Playing,Square Enix,0,0,0.13,0,0.13,,,,,,E
Your Shape: Fitness Evolved 2013,WiiU,2012,Action,Ubisoft,0.06,0.07,0,0.01,0.13,76,8,6.3,16,Blue Byte,
Monster Jam,DS,2007,Racing,Activision,0.12,0,0,0.01,0.13,,,tbd,,Torus Games,E10+
James Bond 007: Nightfire,GBA,2003,Shooter,Electronic Arts,0.1,0.04,0,0,0.13,66,6,8.1,9,JV Games Inc.,E
Let's Play Ballerina,DS,2010,Sports,Deep Silver,0.13,0,0,0.01,0.13,,,tbd,,,T
Nobunaga no Yabou: Tendou,PS3,2010,Strategy,Tecmo Koei,0,0,0.13,0,0.13,,,,,,
Back At The Barnyard: Slop Bucket Games,DS,2008,Sports,THQ,0.12,0,0,0.01,0.13,49,4,tbd,,THQ,
Medalot 7,3DS,2012,Action,Rocket Company,0,0,0.13,0,0.13,,,,,,E
Bio FREAKS,PS,1998,Action,GT Interactive,0.07,0.05,0,0.01,0.13,,,,,,
Little League World Series Baseball 2009,DS,2009,Sports,Activision,0.12,0,0,0.01,0.13,,,tbd,,Black Lantern Studios,
Castlevania Chronicles,PS,2001,Platform,Konami Digital Entertainment,0.07,0.05,0,0.01,0.13,69,16,7,13,Konami,E
Suzumiya Haruhi no Tomadoi,PS2,2008,Adventure,Banpresto,0,0,0.13,0,0.13,,,,,,T
International Cricket 2010,X360,2010,Sports,Codemasters,0,0.12,0,0.02,0.13,,,,,,
GoldenEye 007 (2010),DS,2010,Action,Activision,0.1,0.03,0,0.01,0.13,,,,,,
Bratz,GBA,2002,Platform,Ubisoft,0.1,0.04,0,0,0.13,,,tbd,,DC Studios,
Pinball Hall of Fame: The Gottlieb Collection,Wii,2006,Misc,System 3 Arcade Software,0.12,0,0,0.01,0.13,,,tbd,,Farsight Studios,E
King Arthur,PS2,2004,Action,Konami Digital Entertainment,0.07,0.05,0,0.02,0.13,59,22,8,10,Krome Studios,E
FIFA Street 2,PSP,2006,Sports,Electronic Arts,0.07,0.05,0,0.02,0.13,58,6,6.9,17,EA Canada,T
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 1: CR Shinseiki Evangelion,PS2,2005,Misc,D3Publisher,0,0,0.13,0,0.13,,,,,,E
The Guy Game,PS2,2004,Misc,Gathering of Developers,0.07,0.05,0,0.02,0.13,48,20,6.7,13,Top Heavy Studios,
Rurouni Kenshin: Enjou! Kyoto Rinne,PS2,2006,Action,Banpresto,0,0,0.13,0,0.13,,,,,,M
Blade II,XB,2002,Action,Activision,0.1,0.03,0,0,0.13,53,20,4,4,Mucky Foot Productions,
Rogue Warrior,PS3,2009,Shooter,Bethesda Softworks,0.11,0.01,0,0.01,0.13,27,24,2.8,66,Rebellion,M
Suikoden: Tsumugareshi Hyakunen no Toki,PSP,2012,Role-Playing,Konami Digital Entertainment,0,0,0.13,0,0.13,,,,,,M
Baseball Advance,GBA,2002,Sports,Sega,0.1,0.04,0,0,0.13,80,16,7.8,5,Smilebit,
Nicktoons: MLB,X360,2011,Sports,Take-Two Interactive,0.12,0,0,0.01,0.13,,,7.6,7,High Voltage Software,E
Shonen Jump's One Piece: Grand Battle,PS2,2005,Fighting,Atari,0.07,0.05,0,0.02,0.13,,,,,,E
Learn Math,DS,2009,Puzzle,DreamCatcher Interactive,0.12,0,0,0.01,0.13,,,tbd,,Dreamcatcher,
Nitrobike,Wii,2008,Racing,Ubisoft,0.11,0.01,0,0.01,0.13,49,22,7.1,7,Left Field Productions,E
Cruise Ship Vacation Games,Wii,2009,Puzzle,Avanquest,0.12,0,0,0.01,0.13,,,tbd,,Activision,E10+
Pro Yaky? Spirits 6,PS2,2009,Sports,Konami Digital Entertainment,0,0,0.13,0,0.13,,,,,,E
Paperboy / Rampage,GBA,2005,Misc,Zoo Digital Publishing,0.1,0.04,0,0,0.13,,,tbd,,DSI Games,
Shiren the Wanderer 4 - God's Eye and the Demon's Navel,DS,2010,Role-Playing,Spike,0,0,0.13,0,0.13,,,,,,E
Vampire Moon: The Mystery of the Hidden Sun,DS,2010,Adventure,City Interactive,0.12,0.01,0,0.01,0.13,50,8,tbd,,City Interactive,
Sentou Kokka Air Land Battle,PS,1995,Strategy,Sony Computer Entertainment,0,0,0.13,0.01,0.13,,,,,,E
Quick Yoga Training,DS,2008,Misc,Ubisoft,0.12,0,0,0.01,0.13,,,tbd,,"Ubisoft, Moss",
Attack on Titan (KOEI),PSV,2016,Action,Tecmo Koei,0,0,0.13,0,0.13,,,,,,E
NTRA Breeders' Cup World Thoroughbred Championships,PS2,2005,Simulation,Bethesda Softworks,0.07,0.05,0,0.02,0.13,,,,,,
Hulk Hogan's Main Event,X360,2011,Fighting,505 Games,0.1,0.02,0,0.01,0.13,26,4,2.2,20,Panic Button,
Tak 2: The Staff of Dreams,XB,2004,Platform,THQ,0.1,0.03,0,0,0.13,73,25,tbd,,Avalanche Software,T
Destroy All Humans! Big Willy Unleashed,Wii,2008,Action,THQ,0.12,0,0,0.01,0.13,,,,,,E
Retro Atari Classics,DS,2005,Misc,Atari,0.12,0,0,0.01,0.13,51,17,3.7,7,Taniko,
Imagine: Fashion Designer,3DS,2011,Simulation,Ubisoft,0.1,0.02,0,0.01,0.13,,,tbd,,Ubisoft Sofia,E
Need for Speed Underground 2,DS,2005,Racing,Electronic Arts,0.11,0.02,0,0.01,0.13,65,13,7,25,EA Canada,E
My Spanish Coach,PSP,2008,Misc,Ubisoft,0.12,0,0,0.01,0.13,,,tbd,,Ubisoft,E
Ys: The Ark of Napishtim,PS2,2005,Role-Playing,Konami Digital Entertainment,0.07,0.05,0,0.02,0.13,72,35,8.8,14,Falcom,E
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,2016,Action,Square Enix,0,0,0.13,0,0.13,,,,,,T
Dragon Age Origins: Awakening,PC,2010,Role-Playing,Electronic Arts,0.01,0.1,0,0.02,0.13,,,,,,
Azure Dreams,PS,1997,Role-Playing,Konami Digital Entertainment,0.07,0.05,0,0.01,0.13,,,,,,
Divinity II: The Dragon Knight Saga,X360,2010,Role-Playing,Focus Home Interactive,0.11,0.02,0,0.01,0.13,72,13,7.8,50,Larian Studios,
SingStar Latino,PS2,2007,Misc,Sony Computer Entertainment,0.07,0.05,0,0.02,0.13,,,tbd,,SCEE London Studio,M
Kung Fu Panda 2,Wii,2011,Action,THQ,0.07,0.05,0,0.01,0.13,,,,,,T
NHL 2K8,X360,2007,Sports,Take-Two Interactive,0.11,0.01,0,0.01,0.13,71,43,7.4,16,Kush Games,
Pro Baseball Spirits 2015,PSV,2015,Action,Konami Digital Entertainment,0,0,0.13,0,0.13,,,,,,E10+
Haunted House,Wii,2010,Action,Atari,0.12,0,0,0.01,0.13,41,6,tbd,,"Atari, Atari SA",
Top Spin 3,DS,2008,Action,D3Publisher,0.11,0.02,0,0.01,0.13,65,12,tbd,,"Pam Development, 2K Sports",E10+
Syberia,DS,2008,Action,Mindscape,0.1,0.02,0,0.01,0.13,52,10,tbd,,"Microids, Dreamcatcher",E
Kurt Warner's Arena Football Unleashed,PS,2000,Sports,Midway Games,0.07,0.05,0,0.01,0.13,,,,,,T
Puzzle Kingdoms,DS,2009,Puzzle,Zoo Digital Publishing,0.12,0,0,0.01,0.13,64,12,6.3,4,Infinite Interactive,
Hyperdimension Neptunia,PSV,2013,Role-Playing,Compile Heart,0.05,0,0.07,0.01,0.13,,,,,,E10+
Life is Strange,XOne,2016,Adventure,Square Enix,0.09,0.03,0,0.01,0.13,85,4,8.7,123,DONTNOD Entertainment,
Suite PreCure: Melody Collection,DS,2011,Misc,Namco Bandai Games,0,0,0.13,0,0.13,,,,,,M
NHL 2K9,PS2,2008,Sports,Take-Two Interactive,0.07,0.05,0,0.02,0.13,,,6.7,7,Visual Concepts,
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,PS2,2008,Role-Playing,Atlus,0.07,0.05,0,0.02,0.13,79,23,8.7,26,Atlus Co.,E10+
Rogue Ops,XB,2003,Action,Kemco,0.1,0.03,0,0,0.13,63,24,tbd,,Bits Studios,M
NBA Hoopz,PS,2001,Sports,Midway Games,0.07,0.05,0,0.01,0.13,,,tbd,,Eurocom Entertainment Software,M
Transworld Surf,XB,N/A,Sports,Atari,0.1,0.03,0,0,0.13,76,25,tbd,,Rockstar San Diego,E
History Civil War: Secret Missions,X360,2008,Shooter,Activision,0.12,0,0,0.01,0.13,,,,,,T
MLB 11: The Show,PS2,2011,Sports,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13,,,6.2,6,SCEA San Diego Studios,
Castrol Honda Superbike Racing,PS,1998,Racing,THQ,0.07,0.05,0,0.01,0.13,,,,,,E
X-Blades,PS3,2009,Action,SouthPeak Games,0.07,0.03,0.02,0.01,0.13,50,31,5.9,15,Gaijin Entertainment,
Teenage Mutant Ninja Turtles: Danger of the Ooze,3DS,2014,Adventure,Activision,0.08,0.04,0,0.01,0.13,,,tbd,,WayForward,M
Army Men: Green Rogue,PS2,2001,Action,3DO,0.06,0.05,0,0.02,0.13,39,13,3.8,4,3DO,E10+
Chessmaster,XB,2004,Misc,Ubisoft,0.1,0.03,0,0,0.13,79,12,9,6,Ubisoft,T
Brain Assist,DS,2007,Misc,Sega,0.12,0,0,0.01,0.13,53,17,tbd,,Sega,E
Freddi Fish: ABC under the sea,DS,2008,Misc,Atari,0.12,0,0,0.01,0.13,,,,,,E
Adventures to Go!,PSP,2008,Role-Playing,Zushi Games,0.11,0,0.01,0.02,0.13,,,,,,
Monster Rancher DS,DS,2008,Role-Playing,Tecmo Koei,0.08,0,0.05,0.01,0.13,58,4,tbd,,Cing,
Peter Jackson's King Kong: The Official Game of the Movie,DS,2005,Action,Ubisoft,0.12,0,0,0.01,0.13,28,5,3.2,32,Ubisoft Casablanca,E
Superman: The Man of Steel,XB,2002,Action,Atari,0.1,0.03,0,0,0.13,44,19,6,11,Circus Freak,T
Kororinpa: Marble Mania,Wii,2006,Puzzle,Nintendo,0.08,0.02,0.03,0.01,0.13,69,39,8.7,21,Hudson,T
Ken to Mahou to Gakuen Mono. 3,PSP,2010,Role-Playing,Acquire,0,0,0.13,0,0.13,,,,,,E
The Flintstones: Bedrock Bowling,PS,2000,Sports,Ubisoft,0.07,0.05,0,0.01,0.13,,,,,,
NHL 2003,GC,2002,Sports,Electronic Arts,0.1,0.03,0,0,0.13,79,13,6.3,4,EA Sports,
Chicken Run,PS,2000,Adventure,Eidos Interactive,0.07,0.05,0,0.01,0.13,75,7,6.2,6,Blitz Games,E
Injustice: Gods Among Us,PSV,2013,Fighting,Warner Bros. Interactive Entertainment,0.09,0,0,0.03,0.13,,,,,,E
Fatal Inertia,X360,2007,Racing,Tecmo Koei,0.12,0,0,0.01,0.13,61,30,4.2,19,Koei,
Over the Hedge: Hammy Goes Nuts!,DS,2006,Platform,Activision,0.12,0,0,0.01,0.13,,,,,,E10+
Phantom Brave: We Meet Again,Wii,2009,Role-Playing,Nippon Ichi Software,0.12,0,0.01,0.01,0.13,76,12,7.1,15,Nippon Ichi Software,
NHL 2K9,PS3,2008,Sports,Take-Two Interactive,0.11,0.01,0,0.01,0.13,70,21,tbd,,Visual Concepts,T
Shining Force III,SAT,1997,Strategy,Sega,0,0,0.13,0,0.13,,,,,,E10+
Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PSP,2011,Sports,Konami Digital Entertainment,0,0,0.13,0,0.13,,,,,,
Tales of the Heroes: Twin Brave,PSP,2012,Role-Playing,Namco Bandai Games,0,0,0.13,0,0.13,,,,,,
WWE Survivor Series,GBA,2004,Fighting,THQ,0.09,0.04,0,0,0.13,55,12,8.2,5,Natsume,
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS 2,DS,2006,Action,Sega,0,0,0.13,0,0.13,,,,,,T
Kung-Fu: High Impact,X360,2011,Action,Black Bean Games,0.08,0.05,0,0.01,0.13,56,18,7.8,20,Virtual Air Guitar Company,
Euro Truck Simulator 2,PC,2012,Action,SCS Software,0,0.12,0,0.02,0.13,79,17,8.7,992,SCS Software,T
Bakugan: Battle Trainer,DS,2010,Action,Activision,0.12,0,0,0.01,0.13,,,,,,
Super Robot Wars BX,3DS,2015,Action,Namco Bandai Games,0,0,0.13,0,0.13,,,,,,
Tomb Raider: Legend,XB,2006,Action,Eidos Interactive,0.1,0.03,0,0,0.13,82,40,7.2,13,Crystal Dynamics,
Nagano Winter Olympics '98,PS,1997,Sports,Konami Digital Entertainment,0.07,0.05,0,0.01,0.13,,,,,,T
I Spy: Universe,DS,2010,Puzzle,Scholastic Inc.,0.12,0,0,0.01,0.13,,,tbd,,"Big Blue Bubble Inc., Scholastic, Inc.",
Ninjatown,DS,2008,Strategy,SouthPeak Games,0.12,0,0,0.01,0.13,80,40,8.3,21,"Venan Entertainment, Cashmere Prod.",E
Warcraft III: Reign of Chaos,PC,2002,Strategy,Vivendi Games,0.03,0.09,0,0.02,0.13,92,40,9.1,1023,Blizzard Entertainment,E
Winning Post 5,PS2,2001,Sports,Tecmo Koei,0,0,0.13,0,0.13,,,,,,T
Frogger Beyond,GC,2002,Platform,Konami Digital Entertainment,0.1,0.03,0,0,0.13,60,6,7.2,5,Konami,
Lord of the Rings: Tactics,PSP,2005,Strategy,Electronic Arts,0.11,0.01,0,0.01,0.13,,,,,,E
RPG Maker II,PS2,2002,Role-Playing,Enterbrain,0.06,0.05,0,0.02,0.13,65,9,8.8,77,Kuusou Kagaku,
The Oregon Trail,3DS,2011,Simulation,Crave Entertainment,0.12,0,0,0.01,0.13,,,,,,E
Alone in the Dark: Inferno,PS3,2008,Adventure,Atari,0.09,0.03,0,0.02,0.13,69,25,5.6,50,Eden Studios,
TRON: Evolution,PSP,2010,Action,Disney Interactive Studios,0.1,0.02,0,0.02,0.13,,,tbd,,SuperVillain Studios,M
Gravity Rush Remastered,PS4,2015,Action,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13,80,62,8.2,153,Bluepoint Games,E10+
Destruction Derby Arenas,PS2,2004,Racing,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13,57,27,7.8,14,Studio 33,T
Dengeki Bunko Fighting Climax,PSV,2014,Fighting,Sega,0.04,0,0.08,0.01,0.13,75,7,8.5,28,Sega,T
MLB Power Pros 2008,Wii,2008,Sports,Konami Digital Entertainment,0.11,0,0.01,0.01,0.13,79,16,8.7,21,Konami,T
Littlest Pet Shop: Spring,DS,2009,Simulation,Electronic Arts,0.12,0,0,0.01,0.13,,,tbd,,Electronic Arts,E
The Unholy War,PS,1998,Strategy,Eidos Interactive,0.07,0.05,0,0.01,0.13,,,,,,E
Cabela's Dangerous Hunts 2009,X360,2008,Sports,Activision,0.12,0,0,0.01,0.13,42,4,tbd,,FUN Labs,
Rumble Roses XX,X360,2006,Fighting,Konami Digital Entertainment,0.07,0.01,0.04,0.01,0.13,62,54,6.6,28,Konami,T
Total War: WARHAMMER,PC,2016,Strategy,Sega,0,0.12,0,0.01,0.13,86,77,7.3,556,Creative Assembly,M
Wantame Music Channel: Doko Demo Style,DS,2007,Misc,Capcom,0,0,0.13,0,0.13,,,,,,T
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GBA,2005,Platform,Ubisoft,0.09,0.03,0,0,0.13,,,,,,
Shaman King: Power of Spirit,PS2,2004,Adventure,Konami Digital Entertainment,0.06,0.05,0,0.02,0.13,54,9,8.2,17,WinkySoft,
Anno 1701: Dawn of Discovery,DS,2007,Simulation,Touchstone,0.07,0.05,0,0.01,0.13,78,14,7.5,19,Sunflowers Interactive,T
Soccer Tsuku DS: World Challenge 2010,DS,2010,Sports,Sega,0,0,0.13,0,0.13,,,,,,E
The BIGS 2,PS3,2009,Sports,Take-Two Interactive,0.12,0,0,0.01,0.13,80,18,7.6,16,Blue Castle Games,
LEGO Legends of Chima: Laval's Journey,PSV,2013,Adventure,Warner Bros. Interactive Entertainment,0.01,0.09,0,0.03,0.13,64,5,6.6,8,TT Games,E10+
DreamWorks Super Star Kartz,Wii,2011,Racing,Activision,0.08,0.03,0,0.01,0.13,,,tbd,,Activision,E10+
Contra III: The Alien Wars,SNES,1992,Shooter,Konami Digital Entertainment,0,0,0.13,0,0.13,,,,,,E
The Amazing Race,Wii,2010,Misc,Ubisoft,0.12,0,0,0.01,0.13,,,tbd,,Ludia Inc.,
Dead to Rights: Reckoning,PSP,2005,Shooter,Electronic Arts,0.12,0,0,0.01,0.13,54,26,7.2,22,Rebellion,E
Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan,3DS,2011,Role-Playing,Square Enix,0,0,0.13,0,0.13,,,,,,M
NBA 08,PS3,2007,Sports,Sony Computer Entertainment,0.12,0,0,0.01,0.13,63,37,6,4,SCEA San Diego Studios,
Hasbro Family Fun Pack,XOne,2015,Misc,Ubisoft,0.1,0.02,0,0.01,0.13,,,tbd,,Ubisoft,E
Amagami,PS2,2009,Adventure,Enterbrain,0,0,0.13,0,0.13,,,,,,E10+
No Fear Downhill Mountain Biking,PS,1998,Sports,Codemasters,0.07,0.05,0,0.01,0.13,,,,,,
NCIS,Wii,2011,Adventure,Ubisoft,0.08,0.04,0,0.01,0.13,,,tbd,,Ubisoft,
The IdolM@ster: One for All,PS3,2014,Misc,Namco Bandai Games,0,0,0.13,0,0.13,,,,,,T
Fire ProWrestling,GBA,2001,Fighting,Spike,0.09,0.03,0,0,0.13,,,,,,
Eternal Poison (JP sales),PS2,2008,Role-Playing,Banpresto,0,0,0.13,0,0.13,,,,,,
Mission: Impossible - Operation Surma,XB,2003,Platform,Atari,0.1,0.03,0,0,0.13,67,27,6.8,4,Paradigm Entertainment,
Legendary,PS3,2008,Shooter,Atari,0.08,0.03,0,0.02,0.13,50,31,7.1,31,Spark Unlimited,T
Chuck E. Cheese's Game Room,DS,2010,Misc,UFO Interactive,0.12,0,0,0.01,0.13,,,tbd,,UFO Interactive,M
MX 2002 Featuring Ricky Carmichael,XB,2001,Racing,THQ,0.1,0.03,0,0,0.13,74,15,tbd,,Pacific Coast Power & Light,E
Romance of the Three Kingdoms IV: Wall of Fire,PS,1995,Strategy,Tecmo Koei,0.05,0.03,0.04,0.01,0.13,,,,,,E
Illusion of Gaia,SNES,1993,Role-Playing,Nintendo,0,0,0.13,0,0.13,,,,,,
Batman: Arkham Knight,PC,2015,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0,0.01,0.13,70,14,2.5,1967,"Rocksteady Studios, Iron Galaxy Studios",
Disney's Kim Possible: Kimmunicator,DS,2005,Platform,Disney Interactive Studios,0.11,0.01,0,0.01,0.13,61,14,7.5,4,Artificial Mind and Movement,M
Mega Man Anniversary Collection,XB,2005,Platform,Capcom,0.1,0.03,0,0,0.13,80,12,9.2,5,Atomic Planet Entertainment,E
Sally's Salon,DS,2008,Simulation,Capcom,0.12,0,0,0.01,0.13,,,tbd,,Capcom,E
Disruptor,PS,1995,Shooter,Interplay,0.07,0.05,0,0.01,0.13,,,,,,E
Pro Evolution Soccer 2017,PS3,2016,Sports,Konami Digital Entertainment,0.01,0.05,0.06,0.01,0.13,,,7.2,19,Konami,
Zoobles! Spring to Life!,DS,2011,Misc,Activision,0.1,0.02,0,0.01,0.13,,,,,,E
Diablo II,PC,2000,Role-Playing,Havas Interactive,0.01,0.1,0,0.02,0.13,88,34,8.8,1056,Blizzard North,
Shrek Smash n' Crash Racing,GC,2006,Racing,Activision,0.1,0.03,0,0,0.13,,,3.1,7,Activision,M
F1 2011,PSV,2011,Racing,Codemasters,0.03,0.07,0.01,0.02,0.13,66,27,6.2,25,Codemasters,E
Drakengard 2,PS2,2005,Role-Playing,Ubisoft,0.06,0.05,0,0.02,0.13,58,34,5.5,49,Cavia Inc.,E
Ben 10 Galactic Racing,DS,2011,Racing,D3Publisher,0.09,0.03,0,0.01,0.13,,,tbd,,Tantatus,M
Grand Knights History,PSP,2011,Role-Playing,Marvelous Interactive,0,0,0.13,0,0.13,,,,,Vanillaware,E
Scene It? Bright Lights! Big Screen!,PS3,2009,Misc,Warner Bros. Interactive Entertainment,0.1,0.01,0,0.01,0.13,,,,,,
Harvest Moon DS (jp sales),DS,2005,Simulation,Rising Star Games,0,0,0.13,0,0.13,,,,,,
Castlevania: Legacy of Darkness,N64,1999,Platform,Konami Digital Entertainment,0.06,0.02,0.05,0,0.13,,,,,,
Sin and Punishment,N64,2000,Shooter,Nintendo,0,0,0.13,0,0.13,,,,,,
NBA Jam 2000,N64,1999,Sports,Acclaim Entertainment,0.12,0.01,0,0,0.13,,,,,,
Sonic Riders,XB,2006,Racing,Sega,0.1,0.03,0,0,0.13,56,33,8.1,7,Sonic Team,
Shrek Super Party,XB,2002,Misc,TDK Mediactive,0.1,0.03,0,0,0.13,33,9,8,11,Mass Media,E
Venetica,X360,2010,Role-Playing,DTP Entertainment,0.09,0.03,0,0.01,0.13,42,14,7.3,18,Deck 13,E
Rally Fusion: Race of Champions,PS2,2002,Racing,Activision,0.06,0.05,0,0.02,0.13,73,19,tbd,,Climax Group,T
The House of the Dead,SAT,1997,Shooter,Sega,0,0,0.13,0,0.13,,,,,,E
Transformers: Prime,WiiU,2012,Action,Activision,0.09,0.03,0,0.01,0.13,,,,,,
Persona 4: Arena,X360,2012,Fighting,Atlus,0.08,0.01,0.03,0.01,0.13,83,21,7.3,60,Arc System Works,
Street Fighter IV,PC,N/A,Fighting,Capcom,0.07,0.05,0,0.02,0.13,91,23,8,352,Capcom,T
Cabela's Alaskan Adventure,X360,2006,Sports,Activision,0.12,0,0,0.01,0.13,48,11,5.6,17,FUN Labs,T
RealSports Volleyball,2600,1981,Sports,Atari,0.12,0.01,0,0,0.13,,,,,,T
Heroes of the Pacific,XB,2005,Simulation,Codemasters,0.1,0.03,0,0,0.13,76,33,8.2,5,IR Gurus Interactive Ltd.,
RollerCoaster Tycoon,XB,2003,Strategy,Atari,0.1,0.03,0,0,0.13,62,8,8.3,12,Atari,T
NightCaster,XB,2002,Action,Microsoft Game Studios,0.1,0.03,0,0,0.13,61,27,5.7,7,Jaleco Entertainment,E
FIFA World Cup Germany 2006,GC,2006,Sports,Electronic Arts,0.1,0.03,0,0,0.13,76,17,6.2,5,EA Canada,T
Space Camp,Wii,2009,Action,Activision,0.12,0,0,0.01,0.13,,,6.2,5,7 Studios,E
Hitman 2: Silent Assassin,GC,2003,Action,Eidos Interactive,0.1,0.03,0,0,0.13,83,17,5.5,8,Io Interactive,E
Lovely Lisa and Friends,DS,2010,Simulation,Tomy Corporation,0.12,0,0,0.01,0.13,,,tbd,,,M
Digimon Racing,GBA,2004,Racing,Namco Bandai Games,0.09,0.03,0,0,0.13,62,10,tbd,,Griptonite Games,
All Star Cheer Squad 2,Wii,2009,Sports,THQ,0.12,0,0,0.01,0.13,,,tbd,,Gorilla Games,E
Ape Escape 3,PS2,2005,Platform,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13,77,51,8.5,22,SCE Japan Studio,E
"Crouching Tiger, Hidden Dragon",PS2,2003,Action,Ubisoft,0.06,0.05,0,0.02,0.13,48,26,3.7,6,Light Weight,E10+
Final Fantasy XIV: Heavensward,PS4,2015,Action,Square Enix,0,0.06,0.06,0.01,0.13,86,20,7.6,225,Square Enix,T
Last Bronx,SAT,1996,Fighting,Sega,0,0,0.13,0,0.13,,,,,,T
Secret Agent Clank,PSP,2008,Platform,Sony Computer Entertainment,0.04,0.03,0.04,0.02,0.13,72,56,7.8,35,High Impact Games,
Barbie and the Three Musketeers,DS,2009,Adventure,Activision,0.12,0,0,0.01,0.13,,,tbd,,WayForward,E10+
Science Papa,Wii,2009,Misc,Activision,0.11,0.01,0,0.01,0.13,,,tbd,,Activision,E
Momotaro Douchuuki,SAT,1997,Misc,Hudson Soft,0,0,0.13,0,0.13,,,,,,E
Iridion II,GBA,2003,Shooter,Vivendi Games,0.09,0.03,0,0,0.13,78,13,tbd,,Shin'en,
Whiplash,PS2,2003,Racing,Eidos Interactive,0.06,0.05,0,0.02,0.13,66,32,8.7,15,Crystal Dynamics,E
007: Quantum of Solace,DS,2008,Action,Activision,0.11,0.01,0,0.01,0.13,65,10,tbd,,Vicarious Visions,T
Family Fortunes,Wii,2009,Misc,Mindscape,0,0.12,0,0.01,0.13,,,,,,T
Borderlands: Double Game Add-On Pack,X360,2010,Shooter,Take-Two Interactive,0.1,0.02,0,0.01,0.13,,,tbd,,Gearbox Software,
Farming Simulator 2011,PC,2010,Simulation,N/A,0,0.13,0,0,0.13,,,7,23,Giants Software,M
Watch Dogs,WiiU,2014,Action,Ubisoft,0.07,0.05,0,0.01,0.13,62,15,6.4,162,Ubisoft Romania,E
